Customer_ID,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Location,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_on_Product_Research(hours),Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Device_Used_for_Shopping,Payment_Method,Time_of_Purchase,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Time_to_Decision,Spending_Per_Age
41-009-7879,27,Female,High,Married,High School,Middle,Anyang,Hotels,156.5,5,Mixed,1,1,1.0,High,Very Sensitive,0,3,High,Desktop,Other,1/10/2024,True,False,Wants-based,Standard,14,5.796296296296297
89-302-8461,37,Male,Middle,Single,Master's,Middle,Nymburk,Packages),290.11,8,Mixed,4,4,1.0,Medium,Very Sensitive,1,4,Medium,Smartphone,PayPal,10/30/2024,False,False,Impulsive,No Preference,14,7.840810810810811
23-066-1915,23,Female,Middle,Single,Bachelor's,Middle,Jiangcun,Software & Apps,355.28,3,Mixed,5,5,0.0,Low,Very Sensitive,1,4,Low,Smartphone,Credit Card,9/17/2024,True,True,Planned,No Preference,5,15.446956521739128
39-090-0124,31,Bigender,Middle,Single,Bachelor's,High,Tafo,Gardening & Outdoors,73.74,7,Online,4,2,0.3,High,Not Sensitive,1,3,Medium,Smartphone,Other,8/17/2024,False,False,Wants-based,Standard,13,2.3787096774193546
41-854-0707,21,Female,Middle,Widowed,Master's,Middle,Cibaregbeg,Sports & Outdoors,170.35,10,In-Store,2,1,1.0,Medium,Very Sensitive,1,10,Low,Desktop,Cash,6/3/2024,True,True,Need-based,Standard,1,8.111904761904762
04-352-1558,36,Female,High,Single,Master's,Middle,Wang Yang,Home Appliances,123.7,6,Online,2,5,0.0,High,Very Sensitive,1,5,,Smartphone,Other,7/28/2024,False,False,Impulsive,Express,2,3.4361111111111113
93-867-8303,21,Female,Middle,Single,Master's,High,Liangnong,Gardening & Outdoors,201.6,9,In-Store,1,4,2.0,Medium,Very Sensitive,1,4,High,Smartphone,PayPal,10/24/2024,False,False,Impulsive,Express,14,9.6
31-088-6950,27,Female,Middle,Single,Master's,High,Hengshi,Furniture,116.14,11,Mixed,1,4,1.0,High,Somewhat Sensitive,0,8,Medium,Desktop,Credit Card,4/1/2024,False,True,Wants-based,Express,14,4.301481481481481
43-616-8365,29,Female,Middle,Single,Master's,High,Kandangan,Jewelry & Accessories,483.38,9,Online,2,1,0.0,High,Somewhat Sensitive,2,3,High,Desktop,Other,6/9/2024,False,True,Need-based,Standard,8,16.668275862068967
71-876-9118,24,Male,Middle,Single,High School,Middle,Naranjal,Health Supplements,418.62,9,In-Store,1,2,0.0,Low,Not Sensitive,0,9,,Smartphone,Other,11/14/2024,True,False,Need-based,Standard,11,17.4425
18-263-0366,33,Female,Middle,Divorced,Bachelor's,Middle,Abiko,Books,139.83,12,Online,2,4,2.0,,Not Sensitive,0,1,,Tablet,Cash,10/8/2024,False,False,Impulsive,Express,10,4.237272727272727
25-502-1415,38,Female,High,Married,Master's,Middle,Longhuashan,Arts & Crafts,54.17,4,Mixed,4,5,0.0,Medium,Somewhat Sensitive,2,2,Medium,Desktop,Credit Card,1/11/2024,False,True,Planned,No Preference,7,1.4255263157894738
50-000-9588,47,Male,High,Divorced,Master's,High,Zhovkva,Jewelry & Accessories,437.59,10,In-Store,1,4,0.0,,Very Sensitive,0,4,High,Tablet,Credit Card,2/26/2024,True,True,Impulsive,Express,9,9.310425531914893
32-338-5967,32,Male,Middle,Widowed,Bachelor's,High,Lebak,Hotels,113.57,5,Online,4,4,2.0,Medium,Very Sensitive,1,1,High,Tablet,Cash,11/1/2024,False,True,Wants-based,Standard,8,3.5490625
19-311-9149,21,Bigender,High,Single,High School,High,Gereshk,Packages),305.54,6,In-Store,3,5,0.0,Medium,Somewhat Sensitive,0,5,Medium,Smartphone,Other,3/28/2024,True,False,Wants-based,No Preference,7,14.54952380952381
94-212-7169,23,Female,High,Divorced,High School,High,Yonghe,Food & Beverages,339.12,2,In-Store,4,4,0.0,Medium,Not Sensitive,0,5,Low,Smartphone,PayPal,1/8/2024,False,False,Impulsive,No Preference,1,14.744347826086956
17-246-6194,45,Non-binary,Middle,Divorced,Bachelor's,High,Dabai,Jewelry & Accessories,323.4,11,Mixed,2,3,2.0,Low,Very Sensitive,0,8,,Smartphone,Credit Card,2/28/2024,True,True,Need-based,Standard,10,7.1866666666666665
26-672-1285,24,Genderfluid,Middle,Married,High School,Middle,Moutnice,Clothing,472.61,9,In-Store,5,5,2.0,,Very Sensitive,1,4,,Smartphone,PayPal,9/15/2024,True,True,Impulsive,Express,5,19.692083333333333
00-265-0556,20,Female,Middle,Widowed,High School,Middle,Qiryat Yam,Furniture,68.02,10,Online,3,2,1.0,,Very Sensitive,1,6,,Tablet,Credit Card,11/1/2024,True,True,Need-based,Express,6,3.401
76-397-3294,27,Male,High,Single,Master's,Middle,Pirané,Toys & Games,199.44,7,Online,2,1,2.0,,Very Sensitive,0,3,,Tablet,Cash,7/14/2024,False,True,Need-based,Standard,1,7.386666666666667
43-612-8079,47,Male,High,Divorced,High School,Middle,Colima,Sports & Outdoors,250.73,4,Online,3,2,1.0,Low,Somewhat Sensitive,1,10,,Desktop,Cash,4/24/2024,False,True,Planned,No Preference,10,5.33468085106383
17-213-2834,34,Male,Middle,Single,High School,Middle,Marshintsy,Clothing,372.49,12,Online,4,3,0.0,High,Very Sensitive,0,5,Medium,Desktop,Debit Card,8/22/2024,True,False,Planned,No Preference,7,10.955588235294117
36-214-1586,41,Male,High,Widowed,High School,High,Halinów,Books,186.85,2,Online,3,1,2.0,High,Not Sensitive,2,8,Low,Smartphone,Other,2/20/2024,True,False,Impulsive,Express,12,4.557317073170732
32-414-1466,26,Male,High,Widowed,Master's,Middle,Hallsberg,Sports & Outdoors,73.32,10,In-Store,5,1,1.0,,Not Sensitive,1,1,Medium,Smartphone,Debit Card,1/27/2024,True,False,Wants-based,Standard,14,2.82
12-699-6543,49,Male,Middle,Widowed,Bachelor's,Middle,Celso Ramos,Clothing,214.59,6,Online,1,1,0.0,,Somewhat Sensitive,1,8,Low,Tablet,Other,2/9/2024,True,False,Wants-based,Standard,9,4.379387755102041
83-427-3218,47,Female,Middle,Widowed,High School,Middle,White River,Furniture,467.32,12,In-Store,4,4,2.0,Medium,Somewhat Sensitive,2,4,Low,Smartphone,PayPal,1/28/2024,False,True,Need-based,No Preference,11,9.942978723404256
61-663-9008,18,Male,Middle,Married,Master's,Middle,Taishihe,Travel & Leisure (Flights,475.65,4,In-Store,4,5,0.0,High,Somewhat Sensitive,2,6,Low,Smartphone,PayPal,6/23/2024,True,True,Wants-based,Express,14,26.424999999999997
86-917-7481,48,Female,Middle,Widowed,Master's,High,Shanghu,Animal Feed,161.38,11,Mixed,5,3,0.0,,Very Sensitive,1,10,High,Tablet,Debit Card,8/20/2024,True,True,Impulsive,Standard,10,3.362083333333333
66-086-2306,19,Male,Middle,Single,Bachelor's,Middle,Brandsen,Baby Products,249.78,4,In-Store,5,4,0.0,Low,Very Sensitive,0,1,,Desktop,PayPal,11/24/2024,False,False,Wants-based,No Preference,11,13.146315789473684
43-671-9834,39,Female,Middle,Divorced,High School,High,Ranot,Clothing,149.88,9,Mixed,3,2,0.0,Low,Somewhat Sensitive,1,10,Low,Smartphone,Debit Card,4/19/2024,False,False,Impulsive,Standard,4,3.843076923076923
90-888-8726,48,Female,High,Divorced,Master's,Middle,Saint-Jouan-des-Guérets,Jewelry & Accessories,347.09,5,In-Store,5,2,0.0,Medium,Somewhat Sensitive,2,1,,Smartphone,Other,1/26/2024,False,False,Planned,No Preference,7,7.231041666666666
23-085-0811,43,Female,High,Widowed,Master's,High,Da’an,Health Care,345.49,9,Mixed,3,1,2.0,High,Not Sensitive,0,10,Medium,Tablet,PayPal,9/6/2024,True,False,Impulsive,Express,3,8.034651162790698
85-192-9218,31,Female,High,Divorced,Bachelor's,High,Kisovec,Health Care,297.24,2,Mixed,1,4,0.0,Medium,Not Sensitive,0,9,High,Desktop,PayPal,6/29/2024,True,True,Planned,Express,7,9.588387096774193
82-671-7236,28,Female,Middle,Divorced,Bachelor's,High,Ābdānān,Home Appliances,494.34,12,Online,5,3,0.25,High,Very Sensitive,1,8,Low,Desktop,Debit Card,3/3/2024,False,False,Wants-based,Express,3,17.654999999999998
42-674-3987,29,Genderqueer,Middle,Married,Master's,High,Dafeng,Animal Feed,443.52,5,In-Store,5,3,0.0,,Somewhat Sensitive,0,7,Low,Tablet,Cash,5/10/2024,True,False,Need-based,Standard,9,15.293793103448275
41-934-7739,45,Genderfluid,Middle,Divorced,High School,High,Campo Maior,Jewelry & Accessories,457.18,7,In-Store,4,3,2.0,High,Very Sensitive,2,6,Medium,Smartphone,Other,8/20/2024,True,True,Wants-based,Express,10,10.159555555555556
48-825-0400,38,Male,Middle,Single,Master's,High,Sävedalen,Books,407.88,4,In-Store,1,3,1.0,,Very Sensitive,1,10,Medium,Tablet,Cash,11/11/2024,False,False,Planned,Standard,14,10.733684210526315
30-133-5120,30,Male,Middle,Widowed,Bachelor's,Middle,Brikcha,Books,448.68,8,In-Store,4,4,2.0,High,Somewhat Sensitive,1,3,Medium,Tablet,Debit Card,5/25/2024,True,False,Wants-based,Express,8,14.956
29-827-8515,40,Female,High,Widowed,Bachelor's,High,Xidianzi,Electronics,255.96,7,Online,5,1,1.0,High,Very Sensitive,0,10,,Tablet,Cash,12/23/2024,False,False,Need-based,No Preference,13,6.399
91-724-4633,45,Male,Middle,Married,High School,High,La Unión,Luxury Goods,146.07,7,In-Store,4,2,1.0,Low,Very Sensitive,1,6,,Tablet,Credit Card,7/7/2024,True,True,Need-based,Standard,1,3.246
10-328-5732,44,Female,High,Single,High School,Middle,Kliteh,Health Supplements,311.9,4,In-Store,2,4,2.0,Low,Very Sensitive,0,6,High,Smartphone,Credit Card,12/30/2024,False,True,Planned,No Preference,2,7.088636363636363
38-912-1128,38,Female,Middle,Widowed,High School,Middle,Béja,Gardening & Outdoors,301.6,4,Mixed,4,5,1.0,Low,Not Sensitive,2,10,High,Desktop,Credit Card,3/11/2024,False,False,Impulsive,Standard,13,7.936842105263159
07-751-9620,23,Polygender,Middle,Widowed,Bachelor's,High,Ferreira do Alentejo,Software & Apps,297.45,3,Mixed,1,5,0.0,Medium,Very Sensitive,0,7,Low,Tablet,Debit Card,7/7/2024,False,False,Planned,No Preference,4,12.932608695652174
81-877-9170,30,Genderqueer,High,Widowed,Bachelor's,High,Gegernoong,Sports & Outdoors,157.26,3,Online,1,3,1.0,Medium,Not Sensitive,1,1,,Desktop,Cash,7/24/2024,False,False,Need-based,Standard,8,5.242
19-885-2597,42,Male,High,Widowed,Master's,Middle,La Montañita,Health Supplements,239.46,3,Mixed,3,1,0.0,Low,Not Sensitive,2,8,High,Desktop,Other,8/4/2024,True,True,Planned,Standard,7,5.701428571428572
82-389-2029,28,Female,High,Widowed,High School,High,Sarishābāri,Gardening & Outdoors,240.82,10,Mixed,1,3,2.0,High,Somewhat Sensitive,0,3,Medium,Tablet,PayPal,1/2/2024,True,False,Planned,No Preference,8,8.600714285714286
97-463-0048,44,Female,Middle,Single,Master's,High,Mangge,Sports & Outdoors,302.07,6,Mixed,1,5,1.0,Medium,Not Sensitive,2,5,Medium,Desktop,Other,4/9/2024,True,False,Planned,Express,13,6.865227272727273
91-572-6135,45,Male,Middle,Widowed,Bachelor's,Middle,Chabařovice,Software & Apps,367.99,2,Online,2,5,1.0,,Not Sensitive,2,2,High,Smartphone,Debit Card,10/15/2024,False,False,Planned,Express,8,8.177555555555555
10-232-0685,46,Female,High,Married,Master's,Middle,Yangping,Groceries,359.75,7,In-Store,5,1,1.0,High,Not Sensitive,1,6,Low,Tablet,Other,1/23/2024,False,False,Wants-based,Standard,3,7.820652173913044
77-761-7475,28,Female,Middle,Divorced,Bachelor's,High,Berezna,Packages),204.44,2,Mixed,5,3,2.0,,Somewhat Sensitive,1,3,High,Desktop,Debit Card,12/1/2024,False,True,Impulsive,Standard,13,7.301428571428572
78-826-3039,27,Male,High,Single,Master's,High,Vidual,Gardening & Outdoors,228.93,7,Online,1,1,2.0,Low,Not Sensitive,2,2,Medium,Desktop,PayPal,2/19/2024,True,True,Impulsive,Express,11,8.47888888888889
86-668-1045,20,Female,High,Single,High School,Middle,Paris 17,Office Supplies,355.31,11,Online,1,1,0.0,High,Not Sensitive,1,2,Medium,Desktop,Debit Card,8/19/2024,False,True,Impulsive,Express,12,17.7655
14-603-9698,40,Male,High,Married,High School,High,Hultsfred,Animal Feed,334.67,12,In-Store,2,1,2.0,,Somewhat Sensitive,2,5,,Tablet,Debit Card,11/18/2024,True,False,Need-based,Standard,13,8.36675
23-752-2213,36,Male,Middle,Widowed,Master's,Middle,Níkaia,Books,182.72,5,Online,2,1,2.0,High,Very Sensitive,1,7,,Desktop,Other,6/4/2024,False,False,Impulsive,No Preference,13,5.075555555555556
71-486-8561,43,Male,High,Widowed,High School,Middle,Macayug,Jewelry & Accessories,260.22,11,In-Store,4,3,0.0,,Not Sensitive,2,5,High,Desktop,Credit Card,11/20/2024,False,True,Need-based,Express,13,6.051627906976745
76-382-7162,26,Female,High,Single,High School,Middle,Mahanoro,Food & Beverages,454.93,8,Online,3,5,0.0,Low,Somewhat Sensitive,2,7,Medium,Desktop,Debit Card,4/21/2024,False,False,Wants-based,No Preference,11,17.497307692307693
28-947-4295,29,Male,Middle,Widowed,Bachelor's,High,Mozdok,Beauty & Personal Care,325.42,11,In-Store,2,4,2.0,Low,Not Sensitive,1,1,High,Desktop,Other,10/20/2024,True,False,Impulsive,Express,7,11.221379310344828
84-765-0748,34,Female,Middle,Widowed,High School,High,Hoolt,Jewelry & Accessories,351.36,2,In-Store,5,3,2.0,High,Very Sensitive,2,6,,Desktop,Other,2/9/2024,False,True,Need-based,Standard,7,10.334117647058823
54-207-8349,40,Male,High,Single,Bachelor's,Middle,San Luis,Baby Products,333.63,8,Mixed,4,5,2.0,,Very Sensitive,2,2,High,Smartphone,Other,12/5/2024,False,False,Need-based,Express,14,8.34075
20-419-0341,42,Female,High,Married,Bachelor's,Middle,Pergan,Beauty & Personal Care,469.9,4,Mixed,2,5,1.0,Low,Not Sensitive,1,7,,Desktop,Cash,6/28/2024,False,False,Planned,No Preference,7,11.188095238095238
52-005-9914,28,Male,High,Married,Bachelor's,High,Kanoni,Mobile Accessories,207.52,4,In-Store,3,4,1.0,Low,Not Sensitive,1,8,High,Desktop,Debit Card,8/6/2024,False,False,Impulsive,No Preference,2,7.411428571428572
34-846-7805,49,Male,High,Single,Bachelor's,High,Gromadka,Toys & Games,125.89,7,In-Store,3,3,2.0,Low,Not Sensitive,1,6,Medium,Desktop,Debit Card,11/22/2024,False,False,Wants-based,No Preference,13,2.5691836734693876
26-596-5461,46,Female,High,Single,Master's,Middle,Payapa,Electronics,170.77,9,Online,5,2,1.0,Medium,Somewhat Sensitive,2,1,Low,Smartphone,Credit Card,8/4/2024,False,False,Impulsive,No Preference,4,3.7123913043478263
20-157-8631,44,Female,High,Divorced,Master's,High,Rat Burana,Electronics,63.91,2,Online,1,4,2.0,,Not Sensitive,0,6,Medium,Smartphone,Cash,1/12/2024,False,True,Planned,No Preference,12,1.4525
91-199-9097,29,Male,High,Married,High School,Middle,Trhové Sviny,Clothing,340.55,7,In-Store,4,5,0.0,Low,Not Sensitive,0,7,,Desktop,Credit Card,11/19/2024,False,True,Planned,Express,1,11.743103448275862
55-846-2579,47,Male,Middle,Divorced,Bachelor's,High,Kiev,Software & Apps,378.14,6,Mixed,2,2,1.0,Medium,Very Sensitive,1,6,High,Smartphone,PayPal,9/4/2024,False,False,Wants-based,Standard,7,8.045531914893617
83-455-7266,37,Female,Middle,Married,Bachelor's,Middle,Créteil,Toys & Games,235.84,9,Mixed,5,2,0.0,,Very Sensitive,2,3,,Desktop,Cash,8/3/2024,False,False,Planned,No Preference,14,6.374054054054054
67-599-9267,47,Male,High,Widowed,High School,Middle,Lomintsevskiy,Arts & Crafts,164.44,5,In-Store,5,1,2.0,Low,Somewhat Sensitive,1,10,High,Smartphone,Other,4/8/2024,False,False,Impulsive,No Preference,5,3.498723404255319
41-501-9276,24,Male,High,Married,Bachelor's,High,Monchegorsk,Sports & Outdoors,455.81,3,Online,2,3,1.0,Low,Somewhat Sensitive,1,6,Medium,Smartphone,Debit Card,4/21/2024,False,False,Wants-based,Express,6,18.992083333333333
99-509-4653,36,Male,High,Widowed,Master's,High,Olavarría,Health Care,298.32,7,In-Store,3,5,1.0,Low,Somewhat Sensitive,2,8,,Tablet,Other,6/17/2024,True,False,Wants-based,Standard,12,8.286666666666667
31-284-5722,36,Female,High,Single,Bachelor's,High,Jianshan,Hotels,351.71,7,In-Store,2,2,0.0,Medium,Very Sensitive,1,6,Medium,Tablet,Other,3/19/2024,True,False,Need-based,Standard,8,9.76972222222222
88-000-9227,49,Male,Middle,Divorced,Bachelor's,Middle,Shreveport,Toys & Games,393.48,11,In-Store,2,2,0.0,High,Very Sensitive,1,10,,Tablet,Other,8/13/2024,True,True,Need-based,Standard,3,8.030204081632654
52-726-9328,19,Genderfluid,High,Single,High School,High,Pingzhuang,Office Supplies,241.72,6,Mixed,5,2,1.0,Medium,Not Sensitive,0,8,High,Desktop,Debit Card,5/29/2024,False,True,Planned,Express,2,12.722105263157895
60-198-5417,27,Female,High,Single,Bachelor's,High,Celso Ramos,Software & Apps,280.2,3,In-Store,4,2,0.0,Medium,Somewhat Sensitive,2,7,,Desktop,Other,12/3/2024,False,False,Need-based,No Preference,13,10.377777777777778
00-107-4749,36,Female,Middle,Single,Master's,Middle,Merlo,Health Supplements,178.04,5,Mixed,1,1,2.0,,Somewhat Sensitive,2,10,High,Smartphone,Credit Card,9/19/2024,True,True,Impulsive,Express,11,4.945555555555555
88-428-8409,37,Male,High,Married,Master's,Middle,Ziniaré,Packages),347.99,5,Mixed,4,4,1.0,Low,Somewhat Sensitive,0,1,High,Desktop,PayPal,3/22/2024,True,False,Planned,Standard,6,9.405135135135135
21-313-7424,45,Female,Middle,Single,Master's,High,Zduńska Wola,Office Supplies,343.81,3,In-Store,3,5,0.0,High,Somewhat Sensitive,0,7,Medium,Desktop,Credit Card,2/22/2024,False,True,Need-based,Standard,3,7.6402222222222225
79-973-7862,47,Female,Middle,Married,Master's,Middle,Mount Ayliff,Animal Feed,105.29,7,In-Store,2,5,0.0,Low,Very Sensitive,0,1,High,Desktop,Cash,12/25/2024,False,True,Need-based,Express,4,2.240212765957447
81-814-3498,32,Male,Middle,Single,High School,Middle,Pīrgaaj,Hotels,483.66,3,Online,1,4,1.0,Medium,Not Sensitive,2,1,Medium,Desktop,Other,8/27/2024,False,False,Impulsive,Standard,9,15.114375
34-375-8138,48,Male,Middle,Married,Bachelor's,Middle,Zbraslavice,Home Appliances,69.41,8,Mixed,5,3,0.0,High,Somewhat Sensitive,1,9,High,Tablet,Cash,1/28/2024,False,False,Wants-based,Standard,5,1.4460416666666667
05-067-9686,20,Genderfluid,High,Single,Master's,Middle,Xilu,Toys & Games,207.18,11,Online,1,3,0.0,Low,Somewhat Sensitive,1,5,High,Tablet,PayPal,11/16/2024,False,False,Wants-based,Standard,8,10.359
61-951-7929,32,Male,Middle,Divorced,High School,High,Bamut,Health Supplements,454.15,11,In-Store,2,1,1.0,High,Not Sensitive,1,8,High,Smartphone,Cash,12/8/2024,True,True,Planned,Express,13,14.1921875
53-667-0793,25,Male,High,Widowed,High School,High,La Tour-du-Pin,Groceries,113.01,11,In-Store,5,2,2.0,Low,Very Sensitive,1,1,,Tablet,Credit Card,5/15/2024,False,True,Impulsive,Express,4,4.5204
61-212-1117,42,Male,Middle,Divorced,Bachelor's,Middle,Pader Palwo,Packages),419.13,4,Mixed,3,5,1.0,,Not Sensitive,0,1,,Smartphone,Cash,8/3/2024,False,True,Wants-based,Express,6,9.979285714285714
09-443-7536,37,Female,High,Single,Bachelor's,High,Maurisu,Jewelry & Accessories,183.86,5,Mixed,1,1,2.0,Medium,Not Sensitive,1,4,Low,Smartphone,Debit Card,10/7/2024,False,True,Wants-based,Standard,3,4.96918918918919
27-463-5671,21,Genderfluid,Middle,Widowed,Master's,Middle,Gorzyce,Packages),53.87,10,In-Store,4,3,0.0,Medium,Very Sensitive,0,10,High,Tablet,Cash,6/25/2024,True,False,Planned,No Preference,2,2.565238095238095
53-380-3968,43,Female,High,Widowed,Bachelor's,High,Qingyun,Food & Beverages,427.82,9,In-Store,5,5,0.0,Medium,Somewhat Sensitive,1,2,Medium,Desktop,PayPal,4/4/2024,True,False,Wants-based,No Preference,14,9.949302325581396
42-969-0735,29,Female,High,Divorced,Bachelor's,Middle,Jiuxian,Packages),282.82,6,In-Store,5,3,2.0,Medium,Very Sensitive,2,7,,Desktop,Other,2/29/2024,False,True,Wants-based,Standard,3,9.752413793103448
12-440-5464,28,Male,Middle,Divorced,Master's,Middle,Ndungu,Electronics,215.31,7,Online,5,5,2.0,Medium,Somewhat Sensitive,1,8,Medium,Smartphone,Other,4/9/2024,False,True,Impulsive,No Preference,7,7.689642857142857
33-467-2534,43,Male,Middle,Widowed,Master's,High,Emiliano Zapata,Furniture,183.66,11,Online,3,1,1.0,Low,Very Sensitive,0,10,Medium,Tablet,Credit Card,4/18/2024,True,True,Planned,No Preference,6,4.271162790697674
35-418-0288,48,Female,High,Divorced,High School,Middle,Spasskoye,Baby Products,198.73,10,In-Store,1,5,2.0,High,Very Sensitive,1,5,,Desktop,Other,2/2/2024,True,False,Impulsive,Standard,4,4.140208333333333
33-787-2143,26,Female,Middle,Married,High School,High,Gierłoż,Travel & Leisure (Flights,265.72,5,Mixed,5,4,0.0,,Very Sensitive,0,9,,Tablet,Debit Card,4/22/2024,True,True,Planned,Express,13,10.22
58-528-6262,42,Male,Middle,Married,Master's,High,Sobue,Software & Apps,138.35,2,Online,4,5,2.0,Low,Not Sensitive,0,2,Low,Smartphone,Other,7/14/2024,True,True,Wants-based,No Preference,8,3.294047619047619
31-060-2716,27,Male,Middle,Divorced,Bachelor's,Middle,High Point,Groceries,441.87,3,Mixed,1,2,1.0,High,Somewhat Sensitive,0,10,Medium,Smartphone,PayPal,9/10/2024,True,False,Wants-based,No Preference,13,16.365555555555556
81-515-5823,40,Female,Middle,Married,Master's,Middle,Qiankeng,Clothing,178.29,4,Mixed,4,3,2.0,Low,Very Sensitive,2,10,High,Desktop,Cash,7/29/2024,False,True,Planned,No Preference,8,4.45725
90-858-0453,23,Male,Middle,Widowed,High School,High,Pandean,Sports & Outdoors,77.08,10,Mixed,2,1,0.0,High,Not Sensitive,0,8,,Tablet,PayPal,10/15/2024,True,True,Impulsive,Standard,1,3.351304347826087
28-874-8938,46,Male,High,Married,High School,High,Phong Điền,Office Supplies,266.9,11,Mixed,4,2,2.0,Low,Not Sensitive,1,8,Medium,Desktop,PayPal,7/1/2024,False,True,Wants-based,Express,13,5.802173913043478
89-625-5542,38,Female,Middle,Divorced,Bachelor's,High,Mirów,Electronics,269.84,4,In-Store,5,4,0.0,Low,Not Sensitive,2,9,Low,Tablet,Credit Card,5/4/2024,True,True,Wants-based,No Preference,2,7.101052631578947
07-966-8728,23,Male,Middle,Married,Master's,High,Franceville,Home Appliances,334.22,8,Online,2,2,2.0,,Very Sensitive,2,8,,Tablet,Cash,3/2/2024,False,False,Need-based,Standard,1,14.531304347826088
94-408-2581,40,Female,Middle,Married,High School,High,Bordeaux,Travel & Leisure (Flights,474.56,8,In-Store,1,5,2.0,Low,Not Sensitive,1,6,High,Smartphone,PayPal,4/17/2024,True,False,Planned,Standard,12,11.864
55-301-9368,34,Male,High,Married,Master's,High,Zamora,Electronics,360.91,4,Mixed,3,5,1.0,High,Somewhat Sensitive,0,8,High,Desktop,Credit Card,8/30/2024,True,True,Planned,No Preference,4,10.615
72-336-1992,44,Female,Middle,Widowed,Bachelor's,High,Jubaoshan,Groceries,373.49,6,Online,4,1,0.0,Medium,Very Sensitive,0,10,Low,Tablet,Cash,4/23/2024,True,True,Impulsive,Standard,1,8.48840909090909
06-008-2805,32,Female,High,Married,Master's,Middle,Shādegān,Sports & Outdoors,462.3,5,Mixed,3,3,2.0,,Not Sensitive,2,4,Medium,Tablet,Cash,11/25/2024,True,True,Impulsive,Standard,4,14.446875
77-178-6086,42,Female,Middle,Single,Master's,Middle,Gueltat Zemmour,Toys & Games,332.67,8,In-Store,1,4,2.0,Medium,Somewhat Sensitive,1,2,High,Smartphone,Other,12/11/2024,False,True,Impulsive,Express,4,7.920714285714286
28-832-2885,22,Female,High,Divorced,Master's,Middle,Mosal’sk,Home Appliances,235.39,9,Online,5,4,1.0,,Not Sensitive,0,6,,Smartphone,Credit Card,5/25/2024,False,True,Planned,No Preference,6,10.699545454545454
75-210-7391,44,Female,Middle,Married,High School,Middle,Kokstad,Packages),269.78,7,In-Store,2,3,1.0,Medium,Somewhat Sensitive,2,7,Medium,Desktop,Other,7/25/2024,True,True,Need-based,No Preference,5,6.131363636363636
60-470-3563,29,Male,Middle,Married,Bachelor's,Middle,Malasin,Gardening & Outdoors,498.33,2,Online,3,5,2.0,Medium,Very Sensitive,1,9,Medium,Smartphone,PayPal,5/8/2024,True,True,Wants-based,Express,1,17.183793103448274
24-241-7171,30,Female,High,Single,High School,High,Huaqiu,Health Supplements,182.94,7,Mixed,1,5,2.0,,Not Sensitive,2,7,Low,Desktop,Other,5/28/2024,True,True,Need-based,Express,12,6.098
53-784-1855,19,Female,Middle,Divorced,Master's,High,Loket,Health Supplements,121.7,7,Mixed,4,3,0.0,High,Very Sensitive,2,5,,Smartphone,Credit Card,6/24/2024,True,True,Planned,Standard,8,6.405263157894737
83-561-3374,45,Female,High,Widowed,Master's,Middle,Santa Maria do Souto,Software & Apps,489.27,4,Mixed,1,4,1.0,High,Somewhat Sensitive,1,3,,Tablet,Debit Card,1/13/2024,False,False,Wants-based,Standard,3,10.872666666666666
96-121-0629,38,Male,Middle,Married,Bachelor's,Middle,Yanshang,Software & Apps,303.93,6,Mixed,3,2,0.0,High,Not Sensitive,1,10,Low,Smartphone,Debit Card,3/13/2024,True,False,Need-based,No Preference,2,7.998157894736842
00-275-9990,24,Female,Middle,Married,Bachelor's,Middle,Tempuran,Food & Beverages,302.74,11,Mixed,1,5,0.0,High,Very Sensitive,0,6,High,Smartphone,PayPal,6/28/2024,True,True,Wants-based,Express,5,12.614166666666668
36-593-2907,42,Genderqueer,High,Single,Bachelor's,High,Karafao,Beauty & Personal Care,157.21,11,Online,3,3,0.0,Medium,Not Sensitive,0,3,High,Tablet,Debit Card,4/30/2024,True,False,Wants-based,Express,5,3.7430952380952385
22-692-3470,46,Female,High,Widowed,High School,High,São Cristóvão,Sports & Outdoors,159.45,2,Online,3,2,2.0,Medium,Very Sensitive,0,5,,Smartphone,Debit Card,6/14/2024,True,False,Impulsive,Standard,14,3.4663043478260867
90-322-7329,44,Female,High,Widowed,High School,Middle,Buensuseso,Luxury Goods,312.93,2,In-Store,2,2,1.0,High,Very Sensitive,0,7,,Smartphone,PayPal,8/4/2024,True,True,Wants-based,No Preference,3,7.112045454545455
28-395-9872,38,Male,High,Married,Master's,Middle,Blantyre,Hotels,65.68,4,In-Store,4,4,0.0,Medium,Not Sensitive,0,8,Medium,Smartphone,Other,5/7/2024,False,False,Impulsive,Standard,12,1.728421052631579
79-297-1061,44,Male,Middle,Single,Master's,Middle,Kozel’shchyna,Software & Apps,61.86,5,In-Store,4,5,2.0,,Not Sensitive,2,8,,Smartphone,Cash,11/15/2024,False,True,Need-based,Standard,9,1.405909090909091
